anio,cod_prov,provincia,aborto_cant,hipert_cant,placenta_cant,otras_directas_cant,hemorragias_cant,sepsis_cant,vih_cant,otras_ind_cant,total muertes,nacidos vivos,proporcion,razon,aborto_razon,hipert_razon,placenta_razon,otras_directas_razon,hemorragias_razon,sepsis_razon,vih_razon,otras_ind_razon
2006,6,Buenos Aires,30,16,4,19,7,10,3,10,99,261941,3.77948E-4,3.779477058,1.145296078,0.610824575,0.152706144,0.725354183,0.267235752,0.381765359,0.114529608,0.381765359
2007,6,Buenos Aires,23,15,1,13,6,11,1,27,97,263343,3.68341E-4,3.68340909,0.873385661,0.569599344,0.03797329,0.493652765,0.227839738,0.417706185,0.03797329,1.025278819
2008,6,Buenos Aires,23,13,2,25,5,10,0,12,90,280318,3.21064E-4,3.210639345,0.820496722,0.463759017,0.071347541,0.891844263,0.178368853,0.356737705,0,0.428085246
2009,6,Buenos Aires,32,10,1,13,3,11,1,41,112,279941,4.00084E-4,4.000843035,1.14309801,0.357218128,0.035721813,0.464383567,0.107165438,0.392939941,0.035721813,1.464594325
2010,6,Buenos Aires,31,14,3,21,13,15,1,30,128,288831,4.43166E-4,4.431657267,1.073291994,0.484712514,0.103866967,0.72706877,0.450090191,0.519334836,0.034622322,1.038669672
2006,10,Catamarca,1,1,0,0,1,0,0,0,3,6837,4.38789E-4,4.387889425,1.462629808,1.462629808,0,0,1.462629808,0,0,0
2007,10,Catamarca,3,1,1,0,0,0,0,0,5,6969,7.17463E-4,7.174630507,4.304778304,1.434926101,1.434926101,0,0,0,0,0
2008,10,Catamarca,0,0,0,1,0,1,0,1,3,7206,4.1632E-4,4.163197336,0,0,0,1.387732445,0,1.387732445,0,1.387732445
2009,10,Catamarca,2,1,1,3,0,2,0,2,11,6876,0.001599767,15.99767307,2.90866783,1.454333915,1.454333915,4.363001745,0,2.90866783,0,2.90866783
2010,10,Catamarca,0,0,0,0,0,1,0,0,1,6818,1.46671E-4,1.466705779,0,0,0,0,0,1.466705779,0,0
2006,22,Chaco,6,4,1,4,2,5,0,4,26,20235,0.001284902,12.84902397,2.965159377,1.976772918,0.49419323,1.976772918,0.988386459,2.470966148,0,1.976772918
2007,22,Chaco,0,3,0,6,0,2,0,1,12,19173,6.2588E-4,6.25880144,0,1.56470036,0,3.12940072,0,1.043133573,0,0.521566787
2008,22,Chaco,7,4,0,2,0,1,0,4,18,21919,8.21205E-4,8.21205347,3.193576349,1.824900771,0,0.912450386,0,0.456225193,0,1.824900771
2009,22,Chaco,2,3,2,3,1,3,0,7,21,21703,9.67608E-4,9.676081648,0.921531585,1.382297378,0.921531585,1.382297378,0.460765793,1.382297378,0,3.225360549
2010,22,Chaco,2,3,0,6,3,0,0,3,17,22717,7.48338E-4,7.483382489,0.88039794,1.32059691,0,2.64119382,1.32059691,0,0,1.32059691
2006,26,Chubut,1,1,0,0,1,1,0,2,6,8994,6.67111E-4,6.671114076,1.111852346,1.111852346,0,0,1.111852346,1.111852346,0,2.223704692
2007,26,Chubut,1,1,0,0,0,0,0,0,2,9213,2.17085E-4,2.170845544,1.085422772,1.085422772,0,0,0,0,0,0
2008,26,Chubut,1,0,0,1,1,0,0,2,5,9864,5.06894E-4,5.068937551,1.01378751,0,0,1.01378751,1.01378751,0,0,2.02757502
2009,26,Chubut,0,0,0,0,1,1,0,2,4,9921,4.03185E-4,4.031851628,0,0,0,0,1.007962907,1.007962907,0,2.015925814
2010,26,Chubut,0,0,0,1,1,0,0,1,3,9981,3.00571E-4,3.005710851,0,0,0,1.001903617,1.001903617,0,0,1.001903617
2006,2,Ciud. Aut. de  Buenos Aires,1,1,1,1,0,0,2,2,8,44065,1.8155E-4,1.81549983,0.226937479,0.226937479,0.226937479,0.226937479,0,0,0.453874957,0.453874957
2007,2,Ciud. Aut. de  Buenos Aires,1,0,1,2,2,4,1,3,14,42737,3.27585E-4,3.275849966,0.233989283,0,0.233989283,0.467978567,0.467978567,0.935957133,0.233989283,0.70196785
2008,2,Ciud. Aut. de  Buenos Aires,1,0,0,1,0,2,0,0,4,45820,8.73E-5,0.872981231,0.218245308,0,0,0.218245308,0,0.436490615,0,0
2009,2,Ciud. Aut. de  Buenos Aires,1,4,0,0,0,1,0,2,8,44615,1.79312E-4,1.793118906,0.224139863,0.896559453,0,0,0,0.224139863,0,0.448279727
2010,2,Ciud. Aut. de  Buenos Aires,2,0,0,1,0,0,0,1,4,45429,8.8E-5,0.880494838,0.440247419,0,0,0.22012371,0,0,0,0.22012371
2006,14,C�rdoba,6,0,0,1,1,1,0,6,15,54222,2.7664E-4,2.76640478,1.106561912,0,0,0.184426985,0.184426985,0.184426985,0,1.106561912
2007,14,C�rdoba,3,0,0,1,0,1,0,3,8,53963,1.4825E-4,1.482497267,0.555936475,0,0,0.185312158,0,0.185312158,0,0.555936475
2008,14,C�rdoba,2,2,3,6,2,1,0,4,20,58073,3.44394E-4,3.443941246,0.344394125,0.344394125,0.516591187,1.033182374,0.344394125,0.172197062,0,0.688788249
2009,14,C�rdoba,6,3,0,6,2,0,0,25,42,58595,7.16785E-4,7.167847086,1.023978155,0.511989078,0,1.023978155,0.341326052,0,0,4.266575646
2010,14,C�rdoba,3,1,1,3,5,1,1,13,28,58540,4.78305E-4,4.783054322,0.512470106,0.170823369,0.170823369,0.512470106,0.854116843,0.170823369,0.170823369,2.220703792
2006,18,Corrientes,1,0,0,1,2,2,0,3,9,18561,4.84888E-4,4.848876677,0.538764075,0,0,0.538764075,1.07752815,1.07752815,0,1.616292226
2007,18,Corrientes,0,0,3,0,3,0,0,3,9,18982,4.74133E-4,4.741333895,0,0,1.580444632,0,1.580444632,0,0,1.580444632
2008,18,Corrientes,0,5,0,4,1,1,0,1,12,19984,6.0048E-4,6.004803843,0,2.502001601,0,2.001601281,0.50040032,0.50040032,0,0.50040032
2009,18,Corrientes,2,0,0,3,1,0,0,4,10,20373,4.90846E-4,4.908457272,0.981691454,0,0,1.472537182,0.490845727,0,0,1.963382909
2010,18,Corrientes,1,3,1,1,0,3,0,3,12,20477,5.86023E-4,5.860233433,0.488352786,1.465058358,0.488352786,0.488352786,0,1.465058358,0,1.465058358
2006,30,Entre R�os,1,0,0,6,0,5,0,2,14,21181,6.6097E-4,6.60969737,0.472121241,0,0,2.832727444,0,2.360606204,0,0.944242481
2007,30,Entre R�os,2,2,0,0,0,1,0,2,7,20985,3.33572E-4,3.335715988,0.953061711,0.953061711,0,0,0,0.476530855,0,0.953061711
2008,30,Entre R�os,4,0,0,0,2,3,0,0,9,21538,4.17866E-4,4.178660971,1.857182654,0,0,0,0.928591327,1.39288699,0,0
2009,30,Entre R�os,2,2,1,0,3,7,0,5,20,22228,8.99766E-4,8.997660608,0.899766061,0.899766061,0.44988303,0,1.349649091,3.149181213,0,2.249415152
2010,30,Entre R�os,0,2,0,1,1,2,0,1,7,22357,3.13101E-4,3.131010422,0,0.894574406,0,0.447287203,0.447287203,0.894574406,0,0.447287203
2006,34,Formosa,5,4,0,0,0,1,0,2,12,11237,0.001067901,10.67900685,4.449586188,3.559668951,0,0,0,0.889917238,0,1.779834475
2007,34,Formosa,5,3,1,0,1,4,0,1,15,11241,0.001334401,13.34400854,4.448002847,2.668801708,0.889600569,0,0.889600569,3.558402277,0,0.889600569
2008,34,Formosa,2,1,2,3,0,4,0,2,14,12222,0.001145475,11.45475372,1.636393389,0.818196694,1.636393389,2.454590083,0,3.272786778,0,1.636393389
2009,34,Formosa,5,1,0,0,0,6,0,6,18,11969,0.001503885,15.03885036,4.177458434,0.835491687,0,0,0,5.012950121,0,5.012950121
2010,34,Formosa,5,4,0,2,3,3,0,2,19,11730,0.001619778,16.19778346,4.262574595,3.410059676,0,1.705029838,2.557544757,2.557544757,0,1.705029838
2006,38,Jujuy,9,3,1,3,2,1,0,1,20,12153,0.001645684,16.45684193,7.405578869,2.46852629,0.822842097,2.46852629,1.645684193,0.822842097,0,0.822842097
2007,38,Jujuy,2,1,0,0,0,0,0,3,6,12469,4.81193E-4,4.811933595,1.603977865,0.801988933,0,0,0,0,0,2.405966798
2008,38,Jujuy,3,4,1,1,2,0,0,2,13,12963,0.001002854,10.02854278,2.314279102,3.085705469,0.771426367,0.771426367,1.542852735,0,0,1.542852735
2009,38,Jujuy,7,2,0,0,0,0,0,2,11,13226,8.31695E-4,8.316951459,5.292605474,1.512172993,0,0,0,0,0,1.512172993
2010,38,Jujuy,3,1,0,0,0,0,0,1,5,13395,3.73274E-4,3.732736096,2.239641657,0.746547219,0,0,0,0,0,0.746547219
2006,42,La Pampa,0,1,1,0,0,0,0,0,2,5383,3.7154E-4,3.715400334,0,1.857700167,1.857700167,0,0,0,0,0
2007,42,La Pampa,0,0,0,0,0,1,0,5,6,5336,0.001124438,11.24437781,0,0,0,0,0,1.874062969,0,9.370314843
2008,42,La Pampa,1,0,0,0,0,1,0,2,4,5512,7.25689E-4,7.256894049,1.814223512,0,0,0,0,1.814223512,0,3.628447025
